Bedriftsnavn;Adresse;Postnummer;Poststed;Godkjenninger;Organisasjonsnummer
Suldal Billag Service AS;Suldalsveien 84;4237;Suldalsosen;FARTSSKRIVER, BILVERKSTED01, BILVERKSTED02, BILVERKSTED03, KONTROLLORGAN04;986147365
Paulsen Motor AS;Kaivegen 12;6770;NORDFJORDEID;MOTORSYKKELOGMOPED;994387502
Trucknor Rogaland AS, Egersund;Fossveien 6;4370;EGERSUND;BILVERKSTED02, BILVERKSTED03;981925157
GJEVIK BIL AS;Fortunalia 108;7057;JONSVATNET;HJUL;970977287
LIO AUTO AS;Storvegen 229;3880;Dalen;BILVERKSTED01, KONTROLLORGAN01;913955668
Salminen AS;Stangnesterminalen 2B;9409;Harstad;BILVERKSTED01, KONTROLLORGAN01;915945902
Vagnild Bil;Aasen;7288;SOKNEDAL;BILSKADE;994904949
MAGNE STØLEN TUNING;Steinavegen 14;6800;FØRDE;BILVERKSTED01;957635121
BREMNES TAXI AS;Hollundsdalen 53;5430;BREMNES;HJUL, BILGLASS, HENGERESPALOPSBREMSEANLEGG;867407952
Kristiansund Karosseri A/S;Verkstedv. 1c;6517;Kristiansund N.;BILSKADE;985890552
Volvo Buss Drammen;Damsrudveien 55;3045;DRAMMEN;BILVERKSTED03;910712799
KOPPANG AUTO A/S ;Kjemsjøveien 22;2480;Koppang;BILVERKSTED01, KONTROLLORGAN01;932412063
Glommen Bil AS;Kongsvingervegen 3031;2166;OPPAKER;BILVERKSTED01, KONTROLLORGAN01;971001968
MELKILD BILVERKSTED AS;Nordmørsvegen 35;6600;SUNNDALSØRA;BILVERKSTED01B, BILELEKTRODRIVSTOFFANLEGG, KONTROLLORGAN01B;962274307
Husnes Pit-Stop Service AS;Reset;5450;SUNDE I SUNNHORDLAND;BILVERKSTED01, BILSKADE, KONTROLLORGAN01;991211411
VENG NORGE AS;Isebakkeveien 6;1788;HALDEN;BILVERKSTED01, KONTROLLORGAN01;970959416
Skandinaviska Teknik & Smörjsystem Ab;Myrvangvegen 2;2040;Kløfta;ALKOLASVERKSTED;989029959
MIDTUN BILVERKSTED AS;SANDBREKKEVEGEN 100;5225;NESTTUN;KONTROLLORGAN01, BILVERKSTED01;916627122
Autostrada AS;Lyngbakkveien 1;3736;SKIEN;BILVERKSTED01, KONTROLLORGAN01;974695790
HAUGER BILVERKSTED AS;GAMLE LOMMEDALSVEI 115;1348;RYKKINN;BILVERKSTED01;920222633
TRAILER-TEKNIKK AS;Olav V gate 96B;8004;BODØ;HENGERESPALOPSBREMSEANLEGG, LYSUTSTYR;920033555
Mekonomen Services AS avd. Sandefjord Bil;Hegnasletta 13;3217;SANDEFJORD;BILVERKSTED01B, KONTROLLORGAN01B;999323332
Pluss Auto AS;Jarleveien 12;7041;TRONDHEIM;BILVERKSTED01B, MOTORSYKKELOGMOPED, KONTROLLORGAN01B;914915279
RYDS BILGLASS AS AVD TRONDHEIM;Ivar Lykkes vei 4;7075;TILLER;BILGLASS;997722981
WEST-MASKIN AS;HÅBAKKEN;6887;LÆRDAL;BILVERKSTED01B, BILSKADE, KONTROLLORGAN01B;926043129
BILMESTER AS;INDUSTRIVEIEN 2;1820;SPYDEBERG;BILVERKSTED01;919282959
Autoklinikken;Bedriftveien 10;950;OSLO;BILVERKSTED01, KONTROLLORGAN01;974267098
Altiett A/S;Husflidveien 13;1850;MYSEN;BILSKADE;984620179
RIIS BILGLASS AS;Hvamsvingen 6;2013;SKJETTEN;BILGLASS;979224907
PRESTMARKEN BILSERVICE AS;FURUHALLVEIEN 23;3512;HØNEFOSS;BILVERKSTED01, KONTROLLORGAN01;920714269
BIL ELEKTRO MONTASJE AS;LANDSTADS GATE 31;3210;SANDEFJORD;BILVERKSTED01;998509939
VIANOR AS, avd. Larvik;Løkka 11;3271;LARVIK;KONTROLLORGAN01, BILVERKSTED01;935429447
Spir Oslo AS;Jerikoveien 14;1067;OSLO;BILVERKSTED01, KONTROLLORGAN01;817066542
AUTOVEST BJØRN FURLAND;Stokkelandsvegen 296;6390;VESTNES;HJUL;986971130
RIBI AUTOSENTER AS;Amfisentret , Øravn.4;6650;Surnadal;BILVERKSTED01, KONTROLLORGAN01;986056505
Land Bilverksted AS;Øvre Presthågån 2;2862;FLUBERG;BILVERKSTED01;912061078
SENTRUM AUTOSERVICE AS;Vangestadvegen 1;6854;KAUPANGER;BILVERKSTED01, KONTROLLORGAN01;984655967
Tore's Bilformidling;Eidsvåg;6460;EIDSVÅG I ROMSDAL;BILSKADE;971168412
TRAKTOR & MASKIN AS;SAUDAVEGEN 7478;5576;ØVRE VATS;TRAKTOR;915493351
T. Fronths Bil- og karosseriverksted;Brobekkveien 102;582;OSLO;BILVERKSTED01, KONTROLLORGAN01;974534827
RøhneSelmer AS avd. Ensjø ;Gladengveien 3;661;OSLO;BILVERKSTED01, KONTROLLORGAN01;933823970
MOTOR FORUM AS;Svartbekkvegen 52;2411;Elverum;BILVERKSTED01B, KONTROLLORGAN01B;911907232
Bilskadesenteret AS;Leirvikflaten 29;5179;GODVIK;BILVERKSTED01, BILSKADE;946065706
BENSIN- OG SERVICESENTERET AS;Johan Falkbergetsv. 8;7374;RØROS;BILVERKSTED01, KONTROLLORGAN01;932077299
BIL OG BO H. HARALDSEN;LIENVEGEN 90;3580;GEILO;BILVERKSTED01, KONTROLLORGAN01;977176921
City Bil a/s;Malergata 1;3117;Tønsberg;BILVERKSTED01B, KONTROLLORGAN01B;946057606
BILDESIGN AS;TROMMEDALSVEGEN 231;3735;SKIEN;BILVERKSTED01;988425974
Bilspesialisten Asker og Bærum A/S;Ringeriksveien 243;1340;SKUI;BILVERKSTED01, KONTROLLORGAN01;974629739
IVAR SYLTE AS;GAMLE ROMSDALSVEGEN 5;6300;ÅNDALSNES;HJUL;916509782
MOBILE ELVERUM AS;SVARTBEKKVEGEN 75;2406;ELVERUM;BILVERKSTED01, KONTROLLORGAN01;819496072
Dekk & Bilservice AS;Fyrgata 3;7714;STEINKJER;BILVERKSTED01, HJULUTRUSTNING, KONTROLLORGAN01;911670992
DEKK1 AS;Osloveien 14/16;3511;HØNEFOSS;HJUL, HENGERESPALOPSBREMSEANLEGG;979579292
Trysil Bil AS;Vestmovegen 26;2420;Trysil;BILVERKSTED01, BILSKADE, KONTROLLORGAN01;843025552
Strømmen Bilverksted AS;Skjærvaveien 6b;1466;STRØMMEN;BILVERKSTED01, KONTROLLORGAN01;914144949
MIDT-NORGE AUTOLAKK AS;BØRSET;6657;RINDAL;BILGLASS;996208478
BERKÅK BILSKADE AS;Postmyrveien 12;7391;RENNEBU;BILSKADE;913834852
Mobile Jarlsberg AS;Travveien 4;3170;Tønsberg;BILVERKSTED01, KONTROLLORGAN01;861635392
TORE GULBRANDSEN BILFORMIDLING;RINGERIKSVEIEN 18;3414;LIERSTRANDA;HJUL;961193931
Motorsenteret Heidal AS;Ysterivegen 5;2676;HEIDAL;BILVERKSTED01, KONTROLLORGAN01;999301061
BILSKADESENTERET FAUSKE AS;Bergverksveien 9;8201;Fauske;BILSKADE;915589448
Vianor AS, avd. Kristiansand;Stemmane 4;4636;KRISTIANSAND S;BILVERKSTED01, KONTROLLORGAN01;935429447
Motor Forum AS Oslo;Østre Aker vei 62;581;OSLO;BILVERKSTED01, KONTROLLORGAN01;822276482
AUTO LOUNGE AS;INDUSTRIVEIEN 11B;2020;SKEDSMOKORSET;HJUL;917525609
KRAGERØ AUTO  AS;Dalaneveien 13;3770;KRAGERØ;BILVERKSTED01B, KONTROLLORGAN01B;916785887
TIDEMANN BIL AS;CHR. TIDEMANNS VEI 22;8150;ØRNES;HJUL;984406622
RK BIL AS;STEINBEKKHAUGVEIEN 66;8610;MO I RANA;BILVERKSTED01, KONTROLLORGAN01;915382932
Felleskjøpet Agri SA - avd. Voss;Regimentsvegen 8;5700;VOSS;TRAKTOR;911608103
Nordic Last og Buss AS avd. Gimle;Gimlevegen 12;9019;TROMSØ;FARTSSKRIVER, BILVERKSTED03, KONTROLLORGAN03;979463332
ELEKTRO BILVERKSTED AS;ØRNEVEIEN 15;1710;SARPSBORG;KONTROLLORGAN01, BILVERKSTED01;915453112
Sandhaug AS, avd. Last;Amsrudvegen 1-3;2827;HUNNDALEN;BILVERKSTED03, PABYGGER, KONTROLLORGAN03;876494752
TRIO MOTOR & MC TEKNIKK AS;LIERSTRANDA 55;3414;LIERSTRANDA;MOTORSYKKELOGMOPED;983179525
Motorpool Handel AS;Bergerveien 5;1396;BILLINGSTAD;BILVERKSTED01, KONTROLLORGAN01;947249967
TALSTAD AS;ØRAN VEST;6300;ÅNDALSNES;HJUL, HENGERESPALOPSBREMSEANLEGG;916974167
Magnus Hope AS;Årabrotsvegen 19;5515;HAUGESUND;BILVERKSTED01, KONTROLLORGAN01;912799956
B10 SHINE AS;BEDRIFTSVEIEN 10;950;OSLO;HJUL;917839409
DAUGSTAD MOTORTEKNIKK;Vikveien 91;6393;TOMREFJORD;KONTROLLORGAN01, BILVERKSTED01;919590513
Hauglund Maskin AS;Stein;8920;SØMNA;TRAKTOR;984655843
Bulder Verksted AS avd. Fauske;Follavn. 91;8200;Fauske;BILVERKSTED02, BILVERKSTED03, TRAKTOR, KONTROLLORGAN02, BILVERKSTED01, KONTROLLORGAN01;993026352
CARGLASS AS;Gjerluvegen 1C;2320;FURNES;BILGLASS;985758220
Holmen Auto AS;Stasjonsveien 51;771;OSLO;BILVERKSTED01, KONTROLLORGAN01;977482941
RØROS AUTO AS;Osloveien 14;7374;RØROS;BILVERKSTED01B, KONTROLLORGAN01B;979908792
Express Bilservice AS;Sjømannsvegen 7;6008;ÅLESUND;BILVERKSTED01, KONTROLLORGAN01;984589808
TESLA MOTORS NORWAY AS AVD BERGEN 1 - MINDE;Minde Alle 35;5068;BERGEN;BILVERKSTED01;914194563
BISLETT BILPLEIE & DEKKSERVICE AS;PILESTREDET 75C;354;OSLO;HJUL;993563226
EKSOS INVEST AS;SOLHEIMVEIEN 50;1473;LØRENSKOG;EKSOSANLEGG, HJUL;988403237
HUUS BIL AS;Kotsøy;7387;SINGSÅS;BILVERKSTED01, BILSKADE, KONTROLLORGAN01, ALKOLASVERKSTED;919454342
Karosseri Spesialisten A/S;Østre Aker vei 243;976;OSLO;BILSKADE;880395602
ARNT BILSERVICE AS;NAUSTGATA 1;8665;MOSJØEN;BILVERKSTED01B, KONTROLLORGAN01B, MOTORSYKKELOGMOPED;817553222
SMART MARINE AS;BØVÅGEN 58;4262;AVALDSNES;HENGERESPALOPSBREMSEANLEGG;966553685
Autosenteret AS;Inger Floods vei 1;3676;NOTODDEN;BILVERKSTED01, KONTROLLORGAN01;976910915
SH-PARTNER AS;Kraftveien 14;9440;EVENSKJER;HJUL;895682292
RØROS LAST OG BUSS AS;TOLLEF BREDALS VEI 6;7374;RØROS;KONTROLLORGAN04, BILVERKSTEDALLE, FARTSSKRIVER;917015511
Big Twin AS;Hundskinnveien 98;1711;SARPSBORG;MOTORSYKKELOGMOPED;984715366
Johs. Blomdal AS;Røldalsvegen 44;5750;ODDA;BILVERKSTED01, KONTROLLORGAN01;985470227
CARGLASS AS , avd. Stavanger;Auglendsmyrå 5;4016;STAVANGER;BILGLASS;985758220
Paltek A/S;Somaveien 10;4313;SANDNES;PABYGGER;990717265
KRISTOFFER KOLSVIK;BANGSTADVEIEN 68;7980;TERRÅK;HJUL;913706706
HARSTAD DEKKSENTER AS;STANGNESTERMINALEN 13;9409;HARSTAD;HJUL;912068587
Plamek AS;Sundvollhovet ind. område;3535;KRØDEREN;BILVERKSTED01;986018522
Møller Bil Oslo Vest, avd VW;Lilleakerveien 22;283;OSLO;BILVERKSTED01, KONTROLLORGAN01;928481638
STRANDA BILSERVICE JONNY HAMMER;Dalevegen 7;6200;STRANDA;HJUL, EKSOSANLEGG;957711707
Bilco Bilverksted AS;Maskinveien 16      ;4033;STAVANGER;BILVERKSTED01, KONTROLLORGAN01;932220377
Båt og Fritid AS;Sjøgt. 56;8201;FAUSKE;MOTORSYKKELOGMOPED;995340984
Risa AS;Bjorhaugslettå 16;4365;NÆRBØ;BILVERKSTED01, BILVERKSTED02, BILVERKSTED03, TRAKTOR;980404129
SAND-TEC A/S;Industrivegen 4;2120;SAGSTUA;BILVERKSTED01B, MOTORSYKKELOGMOPED, KONTROLLORGAN01B, KONTROLLORGAN03, BILVERKSTED03, FARTSSKRIVER;984133081
AUTONETT BERGEN AS;SANDDALSRINGEN 3;5225;NESTTUN;BILVERKSTED01;995293854
NAF Senter Alta;MARKVEIEN 53;9510;ALTA;KONTROLLORGAN01;987372540
FUGLESANGDAHL AS;JÆKTSMEDGATA 1;7725;STEINKJER;HENGERESPALOPSBREMSEANLEGG;991836330
Dekkmann as;Litleåsveien 4;5132;Nyborg;HJULUTRUSTNING;966242825
NYE FOSEN DEKKSERVICE AS;INDUSTRIGATA 21;7130;BREKSTAD;KONTROLLORGAN01, BILVERKSTED01;921222092
Alta Motor AS ;Strandveien 60;9513;ALTA;BILVERKSTED01B, KONTROLLORGAN01B;915975062
ÅRSKOG SERVICE AS;Årskog Industriområde;5419;FITJAR;HJUL, LYSUTSTYR;998398738
Dahle Bil og Motor;Vikaneveien 76;1622;GRESSVIK;BILVERKSTED01;974474743
Slemmestad Karosseri og Lakk AS;Evjetun Industriområde;3470;SLEMMESTAD;BILSKADE, PABYGGER;916846606
Kongsberg Bilservice DA;Skrubbmoen 12;3619;SKOLLENBORG;BILVERKSTED01, KONTROLLORGAN01;994282786
Biltech AS;Haraldvollveien 1;9325;BARDUFOSS;BILVERKSTED01, MOTORSYKKELOGMOPED, HJULUTRUSTNING, KONTROLLORGAN01;987817879
Sven Kvia AS;Moseidsletta 114;4033;STAVANGER;BILVERKSTED01B, BILSKADE, KONTROLLORGAN01B;845933162
VIANOR AS Jessheim;Brannmannsvegen 4;2069;JESSHEIM;HJUL;935429447
JÆREN STORBIL SENTER AS, avd. Bryne;Hålandsvegen 33;4340;Bryne;BILSKADE;986348670
VALDRES LANDBRUKSMASKINER AS;Bygdinvegen 151;2900;FAGERNES;TRAKTOR;936304184
OS SERVICESENTER A/S;Byvegen 30 ;5200;OS;BILVERKSTED01B, KONTROLLORGAN01B, BILSKADE;933240673
CARGLASS AS;ENSJØVEIEN 17;655;OSLO;BILGLASS;985758220
AUTOHJØRNET AS;STASJONSGT. 91;3300;HOKKSUND;BILVERKSTED01, KONTROLLORGAN01;988237434
Bilcentrum AS;Leangen alle 6;7044;TRONDHEIM;BILVERKSTED01B, KONTROLLORGAN01B;836883772
GALÅEN TRANSPORT AS;HAVSJØVEIEN NÆRINGSPARK;7374;RØROS;BILVERKSTED01B, KONTROLLORGAN01B;978677339
Maskin & Auto Service Sør AS;Mjåvannsvegen 8;4628;KRISTIANSAND S;FARTSSKRIVER, KONTROLLORGAN04, BILVERKSTEDALLE;991393919
BERTEL O. STEEN BERGEN AS - NYBORG;LIAMYRANE 5;5132;NYBORG;HJUL;910116851
Toyota Ramstad  Bil AS avd. Mysen;Ramstadveien 3;1850;MYSEN;BILVERKSTED01, KONTROLLORGAN01;987586087
Finsrud Karrosseri og Lakk;Tornerudvegen 35;1831;Askim;BILSKADE;948330180
Autoservice Evje AS;Verksvegen 5;4735;Evje;BILVERKSTED01B, BILSKADE, BILELEKTRODRIVSTOFFANLEGG, KONTROLLORGAN01B;990725888
Hjulmakeren AS;Møllendalsveien;5009;Bergen ;HJULUTRUSTNING;987623500
Harila AS avd. Alta;Betongveien 3A;9515;ALTA;BILVERKSTED01, KONTROLLORGAN01;917630747
Felleskjøpet Agri SA avd. Namsos;Verftsgata 44;7800;NAMSOS;TRAKTOR;911608103
Bilbruket AS;Øvre Langhaugen 11;5709;VOSS;BILVERKSTED01B, KONTROLLORGAN01;915637078
Lena Maskin AS, avd. Lena;Lena;2850;LENA;TRAKTOR;941263003
FLATANGER MOTOR AS;Storlavika;7770;Flatanger;BILVERKSTED01, KONTROLLORGAN01;971207558
Bilverket AS;CASPAR STORMS VEI 2;664;OSLO;KONTROLLORGAN01, BILVERKSTED01;921644329
Bergens Auto Midtun AS;Hardangerveien 34;5224;NESTTUN;BILVERKSTED01, KONTROLLORGAN01;988180297
BIL I NORD HELGELAND AS;Nyrudv.3;8657;Mosjøen;BILVERKSTED01, KONTROLLORGAN01;983666280
HEDMARK BILSENTER A/S ;Åsmarkvegen 835;2364;Næroset;BILVERKSTED01B, KONTROLLORGAN01B;979430930
NAF Senter Stavanger;Stokkamyrveien 10;4313;Sandnes;KONTROLLORGAN01B, BILVERKSTED01B;987372540
Åros Auto Asbjørn Sagstuen;Hurumveien 43a. Åros fabrikker;3474;ÅROS;BILVERKSTED01;997254112
LØKSLID BILKONSULT;SAUEVEIEN 44;3404;LIER;BILVERKSTED01;990745196
HURUM BILSENTER AS;ÅSVEIEN 14;3475;SÆTRE;BILSKADE;997887441
S-Sentrum AS;Professor Kohtsvei 77;1368;Stabekk;BILVERKSTED01, KONTROLLORGAN01;985712050
FINSVEEN MASKIN AS;Televegen 8;3802;BØ I TELEMARK;HJUL;882702472
Fosnavåg Bilverksted AS;Myklebustvegen 65;6092;FOSNAVÅG;BILVERKSTED01B, KONTROLLORGAN01B, KONTROLLORGAN01, BILVERKSTED01, BILSKADE;935444497
Westrum AS;Øvermarka 2;2320;FURNES;PABYGGER;986523081
H-GLASS AS ;HVITTINGFOSSVEIEN 153;3086;HOLMESTRAND;BILGLASS;947530402
SELSBAKK BILSERVICE;Hornebergvegen 11;7038;TRONDHEIM;BILVERKSTED01, KONTROLLORGAN01;880508962
NORDSALTEN DEKK;HAUKÅS;8290;SKUTVIK;HJUL;972016845
MECA SERVICE AS avd. Fyksen Servicecenter Lillehammer;Industrigata 37b;2619;LILLEHAMMER;BILVERKSTED01, KONTROLLORGAN01, BILELEKTRODRIVSTOFFANLEGG, BILDIESEL;920377068
RIIS MONTASJE AS Avd. Kokstad;Kokstadveien 27;5257;KOKSTAD;BILGLASS;921979436
GRENLAND BILSERVICE AS;KJØRBEKKDALEN 9A;3735;SKIEN;BILVERKSTED01, KONTROLLORGAN01;919134062
Re-Auto;Hvitsteinveien 130;3174;Revetal;BILVERKSTED01B, KONTROLLORGAN01B;970900446
Autoskade Elverum AS;Svartbekkvegen 66;2406;ELVERUM;BILSKADE;982735866
DEKKMANN AS AVD DRAMMEN 5254;Teglverksveien 17;3413;LIER;HJUL, HJULUTRUSTNING, HENGERESPALOPSBREMSEANLEGG;974292874
Linkjendal Bilforretning As, avd. bobilverksted;Industriveien 14;3766;SANNIDAL;BILVERKSTED01B, KONTROLLORGAN01B;932728982
Leere's Motorsport A/S;Mossev. 47;1610;Fredrikstad;MOTORSYKKELOGMOPED;829275252
DEKKBUTIKKEN RANA AS;RANENGET 7;8626;MO I RANA;HJUL;995158825
Dale Bil A.S;Nordalen;5722;DALEKVAM;BILVERKSTED01, KONTROLLORGAN01;953915987
Skjervøy Bilservice AS;Kveldsolveien 1;9180;SKJERVØY;BILVERKSTED01, KONTROLLORGAN01;911748169
MEKONOMEN SERVICES AS avd. Rasta;Lerkevegen 52;2209;KONGSVINGER;BILVERKSTED01, KONTROLLORGAN01;999323332
NAF SENTER KONGSBERG;Industriveien 1;3610;KONGSBERG;KONTROLLORGAN01, BILVERKSTED01;987372540
Aaby Auto AS;Ringeriksveien 197;1339;VØYENENGA;BILVERKSTED01, BILSKADE, KONTROLLORGAN01;942665393
ATR Autoservice AS;Litleåsvegen 2;5132;NYBORG;BILVERKSTED01, KONTROLLORGAN01;991036547
ROBSTAD KAROSSERI AS;Birkelandsveien 1275;4760;BIRKELAND;BILSKADE;997091612
HUSBY BILVERKSTED AS;Tingvoll;6630;Tingvoll;BILVERKSTED01, MOTORSYKKELOGMOPED, KONTROLLORGAN01;912850552
RSA BIL Trondheim ;Vestre Rosten 71;7072;HEIMDAL;KONTROLLORGAN01B, BILVERKSTED01B;915518389
SANDESSJØEN VERKSTEDSENTER AS;Øyvind Lambes v.17;8800;Sandnessjøen;BILVERKSTED01B, KONTROLLORGAN01B;979437218
Squadra Italiana Bilverksted;Smiløkka 6a;3173;VEAR;BILVERKSTED01, KONTROLLORGAN01;911957531
RIIS MONTASJE AS;Sam Eides Vei 5B;1412;SOFIEMYR;BILGLASS;921979436
MONAS BILPLEIE AS;ÅSAMYRANE 285;5131;NYBORG;HJUL;916732449
SMART DEKK AS;STRAUMEVEIEN 20;5152;BØNES;HJUL;916682530
TEAM VERKSTED VEST AS;Dalavegen 1;6856;SOGNDAL;HJUL;963914083
Motor Forum AS Sandnes;Kvålveien 2 ;4323;Sandnes;BILVERKSTED01, KONTROLLORGAN01B;944019502
Norsk Scania AS avd Mo i Rana;Verkstedveien 14;8624;MO I RANA;FARTSSKRIVER, BILVERKSTED03, KONTROLLORGAN03;879263662
AUTOCENTERET  A/S;Liamyrane 6;5132;NYBORG;BILVERKSTED01, KONTROLLORGAN01;988664367
IFOR WILLIAMS NORGE AS;RUDSVEGEN 9;2360;RUDSHØGDA;HJUL, HENGERESPALOPSBREMSEANLEGG, LYSUTSTYR;993317756
NORSK BILDELSENTER A/S;Lierskogen Næringssenter;3420;LIERSKOGEN;BILVERKSTED01;958911157
Voster Auto;Tjøstheimsvegen 595;4120;Tau;BILVERKSTED01, KONTROLLORGAN01;970230637
TOM'S GLASS AS;ØYVIND LAMBES VEI 12;8803;SANDNESSJØEN;BILGLASS;980270408
Osan Servicenter AS;Kongsvatnveien 1;8300;SVOLVÆR;BILVERKSTED01, KONTROLLORGAN01;988934690
X-TEAM AS;Bunes Gård;1950;RØMSKOG;BILVERKSTED01, BILELEKTRODRIVSTOFFANLEGG, MOTORSYKKELOGMOPED, BILSKADE;990884196
NAF Senter Tromsø ;Alkeveien 10;9015;TROMSØ;KONTROLLORGAN01, BILVERKSTED01;987372540
DEKKBUTIKKEN ÅLGÅRD AS;KONGSGATA 12;4330;ÅLGÅRD;HJUL, GASSDRIFTANLEGG;998197627
Motor Bil Rekvisita A/S;Teatergata 6 ;2000;LILLESTRØM;LYSUTSTYR, HJUL, HENGERESPALOPSBREMSEANLEGG, EKSOSANLEGG;952312383
Bilmakern  AS;Lierstranda 128 A;3400;DRAMMEN;BILVERKSTED01;961650429
Pedersens Varmeservice AS;Myggveien 14;9514;ALTA;BILVERKSTED01B, KONTROLLORGAN01B;984318286
Per Arne & Steinar Sørensen ANS;Vannvåg;9135;Vannvåg;BILVERKSTED01, BILVERKSTED02, KONTROLLORGAN02;865165072
Bogstad Bilservice AS;Nordveien 100;1930;AURSKOG;BILVERKSTED01, KONTROLLORGAN01;990868263
BRENNA BIL OG TRAKTOR; Torpo;3579;TORPO;BILVERKSTED01;970278710
A-K Maskiner AS avd. Voss;Båtskottræet 3;5710;SKULESTADMO;TRAKTOR;946468037
Martiniussens Bilservice AS;Jonsten Næringspark i Råde;1640;RÅDE;FARTSSKRIVER, PABYGGER;984616740
Bavaria Romerike AS avd Lillestrøm;C. J. Hansens vei 15;2007;KJELLER;BILVERKSTED01, KONTROLLORGAN01;960804953
Bilkilden AS;Torgveien 15;4016;STAVANGER;BILVERKSTED01, KONTROLLORGAN01;971589175
BOS BilVenture AS, Kia Ensjø;Ensjøveien 17;655;OSLO;BILVERKSTED01, KONTROLLORGAN01;987211652
SARPSBORG AUTOSERVICE AS;LUDVIG ENGES VEI 21;1722;SARPSBORG;BILSKADE, KONTROLLORGAN01B, BILVERKSTED01B;815763262
Kirkenes Bil AS;Arbeidergata 2;9900;KIRKENES;BILVERKSTED01B, KONTROLLORGAN01B;967066699
Skipnes Mek. Verksted AS;Vihals;6697;VIHALS;TRAKTOR, KONTROLLORGAN01B, BILVERKSTED01B;980656667
Kongsberg Bilskade AS;Sportsveien 13;3615;KONGSBERG;BILSKADE;984936702
Autoservice Fredrikstad AS;Bruket 39;1621;GRESSVIK;BILVERKSTED01, KONTROLLORGAN01;979612664
Andresen Bilskade;Haugenveien 6 B;1400;SKI;BILSKADE;911749963
Kristiansund Kommune Bil og Maskinv.;Hagelinveien 17;6511;Kristiansund N;BILVERKSTED01B, KONTROLLORGAN01B;991891919
Felleskjøpet Agri SA avd. Fagernes;Bygdinvegen 144;2900;FAGERNES;TRAKTOR;911608103
Vågsbygd Karosseri Gunnar Engeland ;Bråvannskleiva 2 A;4624;KR.SAND;BILSKADE;983772420
Hylestad Autosenter;Rysstad;4748;Rysstad;BILVERKSTED01B, MOTORSYKKELOGMOPED, BILSKADE, KONTROLLORGAN01B;997925084
Omniservice AS - avd. Slemmestad;Eternittveien 35;3470;SLEMMESTAD;BILVERKSTED02, BILVERKSTED03, FARTSSKRIVER, KONTROLLORGAN02, KONTROLLORGAN03, KONTROLLORGAN01;919424001
Toyota Haugesund AS;Salhusvegen 169;5538;HAUGESUND;BILVERKSTED01, KONTROLLORGAN01;982685133
Fredriksen AS;Festhaugveien 4;8470;BØ I VESTERÅLEN;KONTROLLORGAN01B, BILVERKSTED01B;918273662
E18 Trucksenter AS;Kjørholtveien 23;3940;SKIEN;FARTSSKRIVER, KONTROLLORGAN04, BILVERKSTEDALLE;832673862
DEKK AS;Olav Ingstadsvei 9;1351;RUD;HJUL;979450583
HURTIGRUTA CARGLASS AS , avd. Bryne;Morenefaret 1;4340;BRYNE;BILGLASS;985758220
Bertel O. Steen Bergen AS avd. Åsane;Liamyrene 3;5132;BERGEN;BILVERKSTED01, KONTROLLORGAN01;910116851
BILVERKSTED SØR AS;Kongsgård Alle 53;4632;KRISTIANSAND S;BILVERKSTED01, KONTROLLORGAN01;919215224
G-Bil AS;Skibåsen 1 ;4696;KRISTIANSAND S;BILVERKSTED01, KONTROLLORGAN01;953102552
PARKO AS;VESTRE STRANDGATE 13;4610;KRISTIANSAND S;HJUL;950237007
Ferno Norden Norway AS;Innlaget 298;3185;SKOPPUM;BILVERKSTED01;912507831
G. Kittilsen Biloppretting AS;Holterkollveien 2;1440;DRØBAK;BILSKADE;948391724
Sandvika Bil AS;Leif Larsens vei 15;1338;SANDVIKA;BILVERKSTED01B, KONTROLLORGAN01B;989617516
Lågen Autorep AS;Skrubbmoen 18;3619;SKOLLENBORG;BILVERKSTED01, KONTROLLORGAN01;993027928
HAUGANS BIL AS;Gvarvvegen 323;3800;Bø;BILVERKSTED01;965872604
Vinor Bil II AS ;Hagevegen 13B;2613;LILLEHAMMER;BILVERKSTED01, KONTROLLORGAN01;985978743
Huftarøy Auto A/S;Sandvik;5392;STOREBØ;BILVERKSTED01B, KONTROLLORGAN01B;843433502
TH BILSKADE OG UTLEIE AS;Oslovegen 1303;2910;AURDAL;BILSKADE;916494629
STEINSPRUTEN BILGLASS AS AVD ENSJØ;Ensjøveien 12D;655;OSLO;BILGLASS;997719670
Lyngdal Karosseri & Auto AS;Grøndokkmoen 22;4580;Lyngdal;KONTROLLORGAN04, BILVERKSTEDALLE, FARTSSKRIVER, KONTROLLORGAN01B, ALKOLASVERKSTED;914060370
ASTRO KAROSSERI OG SØNN AS;JERNBANEVEIEN 19;667;OSLO;BILVERKSTED01;912039587
TEAM VERKSTED NORD AS avd. Glomfjord;Tor Føynsvei 5;8160;GLOMFJORD;BILVERKSTED02, KONTROLLORGAN03, TRAKTOR, FARTSSKRIVER, BILVERKSTED03, KONTROLLORGAN02;976891783
Intakt Bilskade Trondheim AS;Bjørndalen 1-3;7028;TRONDHEIM;BILSKADE;995238306
Tide Verksted AS avd. Voss;Strandavegen 367;5710;SKULESTADMO;FARTSSKRIVER, BILVERKSTEDALLE, KONTROLLORGAN04;985538220
Kapp Bil og Karosseriverksted AS    ;;2858;KAPP;BILSKADE;987650338
BILPARTNER VEST AS;Øyane 8;6770;NORDFJORDEID;BILVERKSTED01, KONTROLLORGAN01;991151354
